,zat_ori,zat_des,Origin Trips,Destination Trips,Org Nodal Strength,Dest Nodal Strength,Distances,Trips,s_ij,S_ij
154,327,298,157.0,452.0,320.0,967.0,785.1836451628819,34.0,730.0,368.0
155,997,298,344.0,452.0,695.0,967.0,1259.794445380906,13.0,542.0,274.0
156,322,298,138.0,452.0,279.0,967.0,1351.8810974244543,21.0,493.0,249.0
157,996,298,105.0,452.0,211.0,967.0,1665.0622783691472,4.0,1194.0,603.0
158,218,298,61.0,452.0,121.0,967.0,2403.5624410381383,17.0,946.0,477.0
159,286,298,57.0,452.0,114.0,967.0,2859.650694669433,16.0,2754.0,1372.0
160,276,298,62.0,452.0,127.0,967.0,4131.405886776682,13.0,4271.0,2136.0
161,300,298,54.0,452.0,108.0,967.0,1992.1883862430675,11.0,1014.0,511.0
162,323,298,71.0,452.0,141.0,967.0,3698.222651098183,2.0,2766.0,1390.0
163,317,298,69.0,452.0,137.0,967.0,4318.011570625943,1.0,2927.0,1471.0
164,172,298,61.0,452.0,121.0,967.0,4895.05050215088,1.0,3568.0,1792.0
165,459,298,35.0,452.0,71.0,967.0,6710.771230556966,3.0,4920.0,2475.0
166,328,298,18.0,452.0,36.0,967.0,2272.173809392476,1.0,1620.0,819.0
167,953,298,110.0,452.0,220.0,967.0,3348.6215429659733,2.0,2645.0,1331.0
168,167,298,58.0,452.0,117.0,967.0,5385.899842493628,3.0,3946.0,1978.0
169,335,298,68.0,452.0,136.0,967.0,2655.9150423319306,1.0,3210.0,1612.0
170,384,298,21.0,452.0,43.0,967.0,3004.314959500109,7.0,2465.0,1244.0
171,849,298,21.0,452.0,42.0,967.0,5991.462498224801,7.0,4195.0,2103.0
172,295,298,17.0,452.0,36.0,967.0,1048.897175134287,7.0,239.0,116.0
173,301,298,61.0,452.0,123.0,967.0,2552.519144461604,4.0,1280.0,645.0
174,27,298,75.0,452.0,151.0,967.0,12769.227399241488,1.0,5603.0,2813.0
175,25,298,94.0,452.0,188.0,967.0,12990.858329488918,1.0,5639.0,2831.0
176,330,298,55.0,452.0,110.0,967.0,2066.0725638892686,2.0,1789.0,901.0
177,299,298,24.0,452.0,51.0,967.0,1217.1386348199194,6.0,399.0,201.0
178,389,298,11.0,452.0,22.0,967.0,4838.071064916133,1.0,3297.0,1662.0
179,255,298,38.0,452.0,74.0,967.0,4123.847969053272,5.0,3903.0,1954.0
180,304,298,34.0,452.0,67.0,967.0,7065.615632371603,5.0,2685.0,1348.0
181,142,298,10.0,452.0,20.0,967.0,6087.759314588893,1.0,4226.0,2120.0
182,259,298,15.0,452.0,32.0,967.0,6797.981563056926,5.0,4481.0,2244.0
183,275,298,55.0,452.0,111.0,967.0,4000.6770012324955,2.0,3850.0,1924.0
184,998,298,46.0,452.0,93.0,967.0,3953.536299934576,1.0,2096.0,1049.0
185,289,298,47.0,452.0,94.0,967.0,2241.0958982272527,5.0,2948.0,1477.0
186,163,298,30.0,452.0,59.0,967.0,5058.755345169927,5.0,3965.0,1989.0
187,354,298,28.0,452.0,57.0,967.0,6017.666160845545,5.0,4960.0,2493.0
188,344,298,70.0,452.0,141.0,967.0,4373.574860381034,4.0,4673.0,2345.0
189,52,298,26.0,452.0,54.0,967.0,12224.916623033563,2.0,5706.0,2864.0
190,168,298,80.0,452.0,161.0,967.0,4646.630435722932,1.0,3623.0,1818.0
191,288,298,67.0,452.0,133.0,967.0,2836.5038212855543,2.0,2998.0,1501.0
192,292,298,36.0,452.0,72.0,967.0,1226.520812611539,5.0,237.0,116.0
193,178,298,37.0,452.0,75.0,967.0,4734.525453467259,1.0,2967.0,1491.0
194,279,298,26.0,452.0,52.0,967.0,3605.809222798196,4.0,3806.0,1904.0
195,282,298,24.0,452.0,48.0,967.0,3102.0267733385444,3.0,2953.0,1476.0
196,477,298,21.0,452.0,41.0,967.0,6771.5510276507075,5.0,5038.0,2533.0
197,215,298,51.0,452.0,104.0,967.0,2613.1547841583147,5.0,1206.0,605.0
198,217,298,12.0,452.0,24.0,967.0,3013.5100051790514,5.0,2161.0,1085.0
199,297,298,6.0,452.0,12.0,967.0,867.9590203999485,5.0,6.0,3.0
200,147,298,20.0,452.0,41.0,967.0,8545.502835887577,5.0,5834.0,2925.0
201,363,298,31.0,452.0,65.0,967.0,4322.640247993628,1.0,4551.0,2287.0
202,319,298,55.0,452.0,107.0,967.0,3217.4215938633038,1.0,1733.0,871.0
